CID,z,width,bands,err
1277716,0.69377,1.8894467490234377,3,0.1692342208040238
1277945,0.43425,1.392697835286458,3,0.10523207269383243
1277995,0.72265,1.5174124023437499,2,0.16888326498147646
1278493,0.2734,1.303058779296875,4,0.07324761612004994
1278602,0.34896,1.36117836328125,4,0.08675206860199242
1278747,0.32426,1.0369059257812503,4,0.0916474579957553
1279420,0.25736,1.1872883749999998,3,0.10049711711619698
1279488,0.49532,1.5651210703125003,3,0.0991107781819861
1279500,0.23568,1.343198640625,4,0.07363595425480868
1279501,0.56655,1.5688957454427086,3,0.10938183954401975
1279714,0.70074,1.6220143398437503,3,0.1342735051630188
1280135,0.7715,1.5907170410156253,3,0.17296922664586392
1280240,0.05999,1.1933168671875003,1,0.1175947278225415
1280332,0.4934,1.418146640625,3,0.11345536720906801
1280762,0.62682,1.5957875611979162,3,0.12857545793257516
1280780,0.68463,1.7483520071614584,3,0.13791278810767246
1280790,0.63278,1.5449755546874997,3,0.12143955494950408
1280792,0.68123,1.3594320703124996,3,0.12491096092846839
1280807,0.73965,1.842375426432292,3,0.12358582185326121
1281119,0.19947,1.1997823619791668,3,0.08895209878040987
1281135,0.65254,1.8067125143229166,3,0.13594530339653418
1281668,0.30791,1.3765305710449223,4,0.08327943303849779
1281691,0.57935,1.6295272656250004,3,0.16599369578683354
1281879,0.50657,1.6118631572265627,3,0.09690798941657992
1281886,0.38493,1.5095376341145832,3,0.09753935358535311
1282018,0.4248,1.3773066666666667,3,0.10694489365149379
1282114,0.21881,1.1572347031249999,3,0.08873402865316465
1282463,0.64804,1.630282798177083,3,0.1599716916110326
1282736,0.37908,1.3656124218750003,4,0.08295980280425962
1282966,0.58072,1.6205981901041666,3,0.11787848354990717
1283272,0.38405,1.2754255029296873,3,0.10592913127209476
1283373,0.20797,1.1031426229248047,4,0.07150476688970055
1283855,0.56651,1.4994029960937496,3,0.13287353379111635
1283878,0.3139,1.2926004492187502,4,0.08043734335048613
1283923,0.14715,0.9469588818359376,3,0.08068214197436567
1283936,0.3696,1.3298762499999999,4,0.08992817735638015
1284567,0.65602,1.9673862604166679,3,0.17811280311206149
1284601,0.40563,1.4925667513020835,3,0.10573724243097084
1285317,0.56555,1.5876674707031249,3,0.11194349759524007
1285539,0.48469,1.4220546406249999,2,0.2033417290287808
1286337,0.66422,1.5628065937499998,3,0.1324253919905579
1286881,0.52334,1.5003312187500002,3,0.12209364717354093
1287437,0.33727,1.5582329726562494,2,0.13927696339768536
1287883,0.65842,1.4951692812500006,3,0.15409163002578988
1289288,0.29093,1.1460785771484372,4,0.0810455421226921
1289306,0.5438,1.28041927734375,3,0.11845692831164256
1289470,0.61268,1.46695084375,3,0.12235941936455763
1289555,0.56289,1.5496624153645833,3,0.10512996762382287
1289600,0.42019,1.5791292324218755,3,0.09364847286708533
1289664,0.26,1.1301240234374998,4,0.0789090072037087
1289714,0.53638,1.7469320768229164,3,0.13892532465358717
1289812,0.71009,1.59318931640625,3,0.12931412071055262
1289913,0.38598,1.3796185683593751,3,0.10087098859684196
1290007,0.4317,1.4363604817708333,3,0.10216091787243813
1290043,0.73556,1.8393998203124997,3,0.13164815132764737
1290176,0.79602,1.8581089726562496,3,0.12994232322234409
1290323,0.59969,1.6140882514648436,3,0.12075131482498501
1290394,0.57271,1.4580332291666667,3,0.1630997402318079
1290593,0.67594,1.6988532421875,3,0.12438633161532202
1290816,0.21892,1.4444916210937495,4,0.07105525872105574
1290948,0.53736,1.4027909557291667,3,0.11809304855733743
1290967,0.28158,1.1701300986328125,4,0.07318553745354678
1290995,0.5441,1.6807166601562502,3,0.1160399710045044
1291090,0.29292,1.457060234375,4,0.0755421295911899
1291143,0.47937,1.207863227213541,3,0.10777263955777888
1291155,0.51213,1.4243162005208332,3,0.11149315412118303
1291159,0.54102,1.405378135416667,3,0.11919421931932699
1291242,0.28008,1.3567722929687498,4,0.07331107683505272
